,Descrição,Valor,Deputado,Data
40,Combustíveis e Lubrificantes Automotivos,"6.000,00",ELMANO,01/01/2019
41,Outros Serviços de Terceiros - Pessoa Jurídica,"27,77",ELMANO,01/01/2019
42,Serviços Gráficos e Editoriais,"12.224,80",ELMANO,01/01/2019
43,Vale-Refeição e Vale-Alimentação,"4.000,00",ELMANO,01/01/2019
44,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERNANDA PESSOA,01/01/2019
45,Despesas de Teleprocessamento,"550,00",FERNANDA PESSOA,01/01/2019
46,Divulgação das Atividades Parlamentares,"3.000,00",FERNANDA PESSOA,01/01/2019
47,Outros Serviços de Terceiros - Pessoa Jurídica,"9,50",FERNANDA PESSOA,01/01/2019
48,Vale-Refeição e Vale-Alimentação,"5.000,00",FERNANDA PESSOA,01/01/2019
49,Assinaturas de Periódicos e Anuidades,"543,98",FERREIRA ARAGAO,01/01/2019
50,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERREIRA ARAGAO,01/01/2019
51,Convênio com Plano de Saúde,"5.541,62",FERREIRA ARAGAO,01/01/2019
52,Passagens e Despesas com Locomoção,"8.116,00",FERREIRA ARAGAO,01/01/2019
53,Vale-Refeição e Vale-Alimentação,"5.000,00",FERREIRA ARAGAO,01/01/2019
54,Assinaturas de Periódicos e Anuidades,"390,70",GONY ARRUDA,01/01/2019
55,Combustíveis e Lubrificantes Automotivos,"6.000,00",GONY ARRUDA,01/01/2019
56,Divulgação das Atividades Parlamentares,"8.000,00",GONY ARRUDA,01/01/2019
57,Seguros em Geral,"474,56",GONY ARRUDA,01/01/2019
58,Serviços de Telecomunicações,"582,54",GONY ARRUDA,01/01/2019
59,Vale-Refeição e Vale-Alimentação,"5.000,00",GONY ARRUDA,01/01/2019
60,Combustíveis e Lubrificantes Automotivos,"4.000,00",HEITOR FERRER,01/01/2019
61,Outros Serviços de Terceiros - Pessoa Jurídica,"13,65",HEITOR FERRER,01/01/2019
62,Serviços Gráficos e Editoriais,"22.360,00",HEITOR FERRER,01/01/2019
63,Vale-Refeição e Vale-Alimentação,"4.997,00",HEITOR FERRER,01/01/2019
64,Combustíveis e Lubrificantes Automotivos,"6.000,00",JOAO JAIME,01/01/2019
65,Divulgação das Atividades Parlamentares,"500,00",JOAO JAIME,01/01/2019
66,Hospedagens,"6.228,62",JOAO JAIME,01/01/2019
67,Passagens Aéreas,"6.441,70",JOAO JAIME,01/01/2019
68,Serviços Técnicos Profissionais,"4.000,00",JOAO JAIME,01/01/2019
69,Vale-Refeição e Vale-Alimentação,"4.000,00",JOAO JAIME,01/01/2019
70,Combustíveis e Lubrificantes Automotivos,"6.000,00",JOAQUIM NORONHA,01/01/2019
71,Passagens e Despesas com Locomoção,"565,00",JOAQUIM NORONHA,01/01/2019
72,Serviços Técnicos Profissionais,"19.980,00",JOAQUIM NORONHA,01/01/2019
73,Vale-Refeição e Vale-Alimentação,"5.000,00",JOAQUIM NORONHA,01/01/2019
74,Combustíveis e Lubrificantes Automotivos,"6.000,00",JOSE ALBUQUERQUE,01/01/2019
75,Locação de Aeronaves,"7.560,00",JOSE ALBUQUERQUE,01/01/2019
76,Locação de Veículos,"12.325,00",JOSE ALBUQUERQUE,01/01/2019
77,Vale-Refeição e Vale-Alimentação,"4.000,00",JOSE ALBUQUERQUE,01/01/2019
78,Combustíveis e Lubrificantes Automotivos,"3.000,00",JULINHO,01/01/2019
79,Divulgação das Atividades Parlamentares,"8.000,00",JULINHO,01/01/2019
80,Serviços Técnicos Profissionais,"16.200,00",JULINHO,01/01/2019
81,Vale-Refeição e Vale-Alimentação,"3.000,00",JULINHO,01/01/2019
82,Combustíveis e Lubrificantes Automotivos,"6.000,00",LEONARDO ARAUJO,01/01/2019
83,Passagens e Despesas com Locomoção,"5.380,77",LEONARDO ARAUJO,01/01/2019
84,Serviços Técnicos Profissionais,"10.440,00",LEONARDO ARAUJO,01/01/2019
85,Vale-Refeição e Vale-Alimentação,"5.000,00",LEONARDO ARAUJO,01/01/2019
86,Combustíveis e Lubrificantes Automotivos,"6.000,00",LEONARDO PINHEIRO,01/01/2019
87,Vale-Refeição e Vale-Alimentação,"3.500,00",LEONARDO PINHEIRO,01/01/2019
88,Combustíveis e Lubrificantes Automotivos,"6.000,00",MANOEL DUCA,01/01/2019
89,Passagens e Despesas com Locomoção,"3.169,26",MANOEL DUCA,01/01/2019
90,Serviços Técnicos Profissionais,"14.940,00",MANOEL DUCA,01/01/2019
91,Vale-Refeição e Vale-Alimentação,"1.950,00",MANOEL DUCA,01/01/2019
92,Combustíveis e Lubrificantes Automotivos,"6.000,00",MARIO HELIO,01/01/2019
93,Convênio com Plano de Saúde,"2.424,27",MARIO HELIO,01/01/2019
94,Divulgação das Atividades Parlamentares,"8.000,00",MARIO HELIO,01/01/2019
95,Serviços Técnicos Profissionais,"9.900,00",MARIO HELIO,01/01/2019
96,Vale-Refeição e Vale-Alimentação,"5.000,00",MARIO HELIO,01/01/2019
97,Combustíveis e Lubrificantes Automotivos,"6.000,00",MIRIAN SOBREIRA,01/01/2019
98,Divulgação das Atividades Parlamentares,"8.000,00",MIRIAN SOBREIRA,01/01/2019
99,Outros Serviços de Terceiros - Pessoa Jurídica,"219,04",MIRIAN SOBREIRA,01/01/2019
100,Vale-Refeição e Vale-Alimentação,"4.000,00",MIRIAN SOBREIRA,01/01/2019
101,Combustíveis e Lubrificantes Automotivos,"6.000,00",MOISES BRAZ,01/01/2019
102,Despesas de Teleprocessamento,"470,00",MOISES BRAZ,01/01/2019
103,Locação de Veículos,"12.070,00",MOISES BRAZ,01/01/2019
104,Vale-Refeição e Vale-Alimentação,"4.222,50",MOISES BRAZ,01/01/2019
105,Combustíveis e Lubrificantes Automotivos,"6.000,00",ODILON AGUIAR,01/01/2019
106,Divulgação das Atividades Parlamentares,"8.000,00",ODILON AGUIAR,01/01/2019
107,Locação de Veículos,"7.140,00",ODILON AGUIAR,01/01/2019
108,Serviços Técnicos Profissionais,"5.220,00",ODILON AGUIAR,01/01/2019
109,Vale-Refeição e Vale-Alimentação,"5.000,00",ODILON AGUIAR,01/01/2019
110,Combustíveis e Lubrificantes Automotivos,"6.000,00",OSMAR BAQUIT,01/01/2019
111,Outros Serviços de Terceiros - Pessoa Jurídica,"21,32",OSMAR BAQUIT,01/01/2019
112,Serviços Técnicos Profissionais,"17.280,00",OSMAR BAQUIT,01/01/2019
113,Vale-Refeição e Vale-Alimentação,"5.000,00",OSMAR BAQUIT,01/01/2019
114,Combustíveis e Lubrificantes Automotivos,"3.000,00",RACHEL MARQUES,01/01/2019
115,Passagens e Despesas com Locomoção,"2.678,44",RACHEL MARQUES,01/01/2019
116,Serviços Gráficos e Editoriais,"10.033,60",RACHEL MARQUES,01/01/2019
117,Serviços Técnicos Profissionais,"7.560,00",RACHEL MARQUES,01/01/2019
118,Vale-Refeição e Vale-Alimentação,"3.500,00",RACHEL MARQUES,01/01/2019
119,Combustíveis e Lubrificantes Automotivos,"2.600,00",RENATO ROSENO,01/01/2019
120,Convênio com Plano de Saúde,"783,81",RENATO ROSENO,01/01/2019
121,Hospedagens,"529,00",RENATO ROSENO,01/01/2019
122,Locação de Veículos,"2.380,00",RENATO ROSENO,01/01/2019
123,Passagens Aéreas,"1.301,64",RENATO ROSENO,01/01/2019
124,Serviços de Telecomunicações,"437,09",RENATO ROSENO,01/01/2019
125,Vale-Refeição e Vale-Alimentação,"5.000,00",RENATO ROSENO,01/01/2019
126,Combustíveis e Lubrificantes Automotivos,"6.000,00",ROBERIO MONTEIRO,01/01/2019
127,Divulgação das Atividades Parlamentares,"8.000,00",ROBERIO MONTEIRO,01/01/2019
128,Vale-Refeição e Vale-Alimentação,"2.000,00",ROBERIO MONTEIRO,01/01/2019
129,Combustíveis e Lubrificantes Automotivos,"6.000,00",ROBERTO MESQUITA,01/01/2019
130,Locação de Veículos,"2.125,00",ROBERTO MESQUITA,01/01/2019
131,Serviços Gráficos e Editoriais,"5.492,48",ROBERTO MESQUITA,01/01/2019
132,Serviços Técnicos Profissionais,"13.500,00",ROBERTO MESQUITA,01/01/2019
133,Vale-Refeição e Vale-Alimentação,"4.000,00",ROBERTO MESQUITA,01/01/2019
134,Combustíveis e Lubrificantes Automotivos,"6.000,00",SERGIO AGUIAR,01/01/2019
135,Divulgação das Atividades Parlamentares,"5.800,00",SERGIO AGUIAR,01/01/2019
136,Outros Serviços de Terceiros - Pessoa Jurídica,"1.214,47",SERGIO AGUIAR,01/01/2019
137,Passagens Aéreas,"785,38",SERGIO AGUIAR,01/01/2019
138,Passagens e Despesas com Locomoção,"780,99",SERGIO AGUIAR,01/01/2019
139,Seguros em Geral,"1.049,81",SERGIO AGUIAR,01/01/2019
140,Serviços Técnicos Profissionais,"2.520,00",SERGIO AGUIAR,01/01/2019
141,Vale-Refeição e Vale-Alimentação,"3.580,00",SERGIO AGUIAR,01/01/2019
142,Combustíveis e Lubrificantes Automotivos,"6.000,00",TOMAZ HOLANDA,01/01/2019
143,Passagens Aéreas,"1.979,05",TOMAZ HOLANDA,01/01/2019
144,Passagens e Despesas com Locomoção,"4.766,59",TOMAZ HOLANDA,01/01/2019
145,Serviços Gráficos e Editoriais,"13.119,20",TOMAZ HOLANDA,01/01/2019
146,Vale-Refeição e Vale-Alimentação,"5.000,00",TOMAZ HOLANDA,01/01/2019
147,Combustíveis e Lubrificantes Automotivos,"6.000,00",WALTER CAVALCANTE,01/01/2019
148,Outros Serviços de Terceiros - Pessoa Jurídica,"8.696,92",WALTER CAVALCANTE,01/01/2019
149,Seguros em Geral,"1.453,18",WALTER CAVALCANTE,01/01/2019
150,Vale-Refeição e Vale-Alimentação,"4.000,00",WALTER CAVALCANTE,01/01/2019
151,Combustíveis e Lubrificantes Automotivos,"6.000,00",ADERLANIA NORONHA,01/02/2019
152,Convênio com Plano de Saúde,"1.773,84",ADERLANIA NORONHA,01/02/2019
153,Divulgação das Atividades Parlamentares,"4.200,00",ADERLANIA NORONHA,01/02/2019
154,Passagens Aéreas,"15.481,01",ADERLANIA NORONHA,01/02/2019
155,Passagens e Despesas com Locomoção,"97,13",ADERLANIA NORONHA,01/02/2019
156,Serviços Técnicos Profissionais,"9.020,00",ADERLANIA NORONHA,01/02/2019
157,Serviços de Comunicação em Geral,"445,50",ADERLANIA NORONHA,01/02/2019
158,Serviços de Telecomunicações - Pacote de Dados,"471,01",ADERLANIA NORONHA,01/02/2019
159,Vale-Refeição e Vale-Alimentação,"5.000,00",ADERLANIA NORONHA,01/02/2019
160,Assinaturas de Periódicos e Anuidades,"120,84",AGENOR NETO,01/02/2019
161,Combustíveis e Lubrificantes Automotivos,"12.000,00",AGENOR NETO,01/02/2019
162,Convênio com Plano de Saúde,"2.298,79",AGENOR NETO,01/02/2019
163,Locação de Aeronaves,"6.000,00",AGENOR NETO,01/02/2019
164,Outros Serviços de Terceiros - Pessoa Jurídica,"1.450,02",AGENOR NETO,01/02/2019
165,Passagens Aéreas,"585,45",AGENOR NETO,01/02/2019
166,Passagens Terrestres,"84,56",AGENOR NETO,01/02/2019
167,Passagens e Despesas com Locomoção,"1.897,50",AGENOR NETO,01/02/2019
168,Serviços Técnicos Profissionais,"8.000,00",AGENOR NETO,01/02/2019
169,Serviços de Telecomunicações - Pacote de Dados,"1.044,88",AGENOR NETO,01/02/2019
170,Vale-Refeição e Vale-Alimentação,"5.000,00",AGENOR NETO,01/02/2019
171,Assinaturas de Periódicos e Anuidades,"129,90",ANDRE FERNANDES,01/02/2019
172,Combustíveis e Lubrificantes Automotivos,"6.000,00",ANDRE FERNANDES,01/02/2019
173,Convênio com Plano de Saúde,"771,23",ANDRE FERNANDES,01/02/2019
174,Despesas de Teleprocessamento,"56,02",ANDRE FERNANDES,01/02/2019
175,Serviços Gráficos e Editoriais,"2.904,00",ANDRE FERNANDES,01/02/2019
176,Serviços de Telecomunicações - Pacote de Dados,"171,34",ANDRE FERNANDES,01/02/2019
177,Vale-Refeição e Vale-Alimentação,"5.000,00",ANDRE FERNANDES,01/02/2019
178,Assinaturas de Periódicos e Anuidades,"793,07",ANTONIO GRANJA,01/02/2019
179,Combustíveis e Lubrificantes Automotivos,"6.000,00",ANTONIO GRANJA,01/02/2019
180,Convênio com Plano de Saúde,"2.225,30",ANTONIO GRANJA,01/02/2019
181,Divulgação das Atividades Parlamentares,"8.000,00",ANTONIO GRANJA,01/02/2019
182,Locação de Veículos,"7.480,00",ANTONIO GRANJA,01/02/2019
183,Serviços Gráficos e Editoriais,"7.988,16",ANTONIO GRANJA,01/02/2019
184,Serviços Técnicos Profissionais,"7.020,00",ANTONIO GRANJA,01/02/2019
185,Serviços de Telecomunicações - Pacote de Dados,"461,26",ANTONIO GRANJA,01/02/2019
186,Vale-Refeição e Vale-Alimentação,"4.000,00",ANTONIO GRANJA,01/02/2019
187,Combustíveis e Lubrificantes Automotivos,"6.000,00",AUDIC MOTA,01/02/2019
188,Convênio com Plano de Saúde,"1.290,22",AUDIC MOTA,01/02/2019
189,Divulgação das Atividades Parlamentares,"4.100,00",AUDIC MOTA,01/02/2019
190,Seguros em Geral,"504,04",AUDIC MOTA,01/02/2019
191,Serviços de Comunicação em Geral,"4,00",AUDIC MOTA,01/02/2019
192,Serviços de Telecomunicações - Pacote de Dados,"1.367,61",AUDIC MOTA,01/02/2019
193,Vale-Refeição e Vale-Alimentação,"5.000,00",AUDIC MOTA,01/02/2019
194,Combustíveis e Lubrificantes Automotivos,"6.000,00",AUGUSTA BRITO,01/02/2019
195,Convênio com Plano de Saúde,"2.483,96",AUGUSTA BRITO,01/02/2019
196,Passagens e Despesas com Locomoção,"7.189,98",AUGUSTA BRITO,01/02/2019
197,Serviços Técnicos Profissionais,"11.880,00",AUGUSTA BRITO,01/02/2019
198,Serviços de Telecomunicações - Pacote de Dados,"1.546,27",AUGUSTA BRITO,01/02/2019
199,Vale-Refeição e Vale-Alimentação,"4.000,00",AUGUSTA BRITO,01/02/2019
200,Combustíveis e Lubrificantes Automotivos,"6.000,00",BRUNO GONCALVES,01/02/2019
201,Locação de Veículos,"2.125,00",BRUNO GONCALVES,01/02/2019
202,Serviços Técnicos Profissionais,"40.940,00",BRUNO GONCALVES,01/02/2019
203,Serviços de Telecomunicações - Pacote de Dados,"31,90",BRUNO GONCALVES,01/02/2019
204,Vale-Refeição e Vale-Alimentação,"4.000,00",BRUNO GONCALVES,01/02/2019
205,Combustíveis e Lubrificantes Automotivos,"6.000,00",BRUNO PEDROSA,01/02/2019
206,Convênio com Plano de Saúde,"1.757,21",BRUNO PEDROSA,01/02/2019
207,Divulgação das Atividades Parlamentares,"8.000,00",BRUNO PEDROSA,01/02/2019
208,Passagens Terrestres,"586,55",BRUNO PEDROSA,01/02/2019
209,Serviços Técnicos Profissionais,"19.800,00",BRUNO PEDROSA,01/02/2019
210,Serviços de Telecomunicações - Pacote de Dados,"100,54",BRUNO PEDROSA,01/02/2019
211,Vale-Refeição e Vale-Alimentação,"2.000,00",BRUNO PEDROSA,01/02/2019
212,Serviços de Telecomunicações - Pacote de Dados,"2.311,02",CAPITAO WAGNER,01/02/2019
213,Combustíveis e Lubrificantes Automotivos,"6.000,00",CARLOS FELIPE,01/02/2019
214,Divulgação das Atividades Parlamentares,"8.000,00",CARLOS FELIPE,01/02/2019
215,Serviços Gráficos e Editoriais,"11.160,00",CARLOS FELIPE,01/02/2019
216,Serviços Técnicos Profissionais,"12.780,00",CARLOS FELIPE,01/02/2019
217,Serviços de Telecomunicações - Pacote de Dados,"1.122,15",CARLOS FELIPE,01/02/2019
218,Vale-Refeição e Vale-Alimentação,"5.000,00",CARLOS FELIPE,01/02/2019
219,Despesas de Teleprocessamento,"3.000,00",CARLOS MATOS,01/02/2019
220,Hospedagens,"-468,83",CARLOS MATOS,01/02/2019
221,Outros Serviços de Terceiros - Pessoa Jurídica,"468,83",CARLOS MATOS,01/02/2019
222,Passagens Aéreas,"-3.268,61",CARLOS MATOS,01/02/2019
223,Passagens e Despesas com Locomoção,"3.268,61",CARLOS MATOS,01/02/2019
224,Serviços de Comunicação em Geral,"64,66",CARLOS MATOS,01/02/2019
225,Serviços de Telecomunicações - Pacote de Dados,"201,09",CARLOS MATOS,01/02/2019
226,Combustíveis e Lubrificantes Automotivos,"6.000,00",DANNIEL OLIVEIRA,01/02/2019
227,Outros Serviços de Terceiros - Pessoa Jurídica,"3.998,51",DANNIEL OLIVEIRA,01/02/2019
228,Passagens e Despesas com Locomoção,"6.358,34",DANNIEL OLIVEIRA,01/02/2019
229,Serviços Técnicos Profissionais,"8.280,00",DANNIEL OLIVEIRA,01/02/2019
230,Serviços de Telecomunicações - Pacote de Dados,"1.272,32",DANNIEL OLIVEIRA,01/02/2019
231,Vale-Refeição e Vale-Alimentação,"5.000,00",DANNIEL OLIVEIRA,01/02/2019
232,Combustíveis e Lubrificantes Automotivos,"6.000,00",DAVID DURAND,01/02/2019
233,Serviços Técnicos Profissionais,"26.280,00",DAVID DURAND,01/02/2019
234,Serviços de Telecomunicações - Pacote de Dados,"283,87",DAVID DURAND,01/02/2019
235,Vale-Refeição e Vale-Alimentação,"5.000,00",DAVID DURAND,01/02/2019
236,Combustíveis e Lubrificantes Automotivos,"6.000,00",DELEGADO CAVALCANTE,01/02/2019
237,Passagens Aéreas,"3.578,53",DELEGADO CAVALCANTE,01/02/2019
238,Vale-Refeição e Vale-Alimentação,"4.800,00",DELEGADO CAVALCANTE,01/02/2019
239,Assinaturas de Periódicos e Anuidades,"676,19",DR. SARTO,01/02/2019
240,Combustíveis e Lubrificantes Automotivos,"6.000,00",DR. SARTO,01/02/2019
241,Convênio com Plano de Saúde,"1.421,64",DR. SARTO,01/02/2019
242,Vale-Refeição e Vale-Alimentação,"4.000,00",DR. SARTO,01/02/2019
243,Combustíveis e Lubrificantes Automotivos,"6.000,00",DRA SILVANA,01/02/2019
244,Passagens Aéreas,"20.759,78",DRA SILVANA,01/02/2019
245,Serviços de Telecomunicações - Pacote de Dados,"427,94",DRA SILVANA,01/02/2019
246,Vale-Refeição e Vale-Alimentação,"5.000,00",DRA SILVANA,01/02/2019
247,Combustíveis e Lubrificantes Automotivos,"6.000,00",ELMANO,01/02/2019
248,Divulgação das Atividades Parlamentares,"8.000,00",ELMANO,01/02/2019
249,Locação de Veículos,"12.000,00",ELMANO,01/02/2019
250,Passagens Aéreas,"4.318,71",ELMANO,01/02/2019
251,Passagens e Despesas com Locomoção,"6.118,67",ELMANO,01/02/2019
252,Serviços de Telecomunicações - Pacote de Dados,"41,34",ELMANO,01/02/2019
253,Vale-Refeição e Vale-Alimentação,"4.000,00",ELMANO,01/02/2019
254,Combustíveis e Lubrificantes Automotivos,"6.000,00",EVANDRO LEITAO,01/02/2019
255,Serviços Técnicos Profissionais,"9.900,00",EVANDRO LEITAO,01/02/2019
256,Serviços de Telecomunicações - Pacote de Dados,"30,90",EVANDRO LEITAO,01/02/2019
257,Vale-Refeição e Vale-Alimentação,"4.500,00",EVANDRO LEITAO,01/02/2019
258,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERNANDA PESSOA,01/02/2019
259,Despesas de Teleprocessamento,"550,00",FERNANDA PESSOA,01/02/2019
260,Divulgação das Atividades Parlamentares,"13.000,00",FERNANDA PESSOA,01/02/2019
261,Locação de Veículos,"3.600,00",FERNANDA PESSOA,01/02/2019
262,Serviços Técnicos Profissionais,"3.060,00",FERNANDA PESSOA,01/02/2019
263,Serviços de Telecomunicações - Pacote de Dados,"935,57",FERNANDA PESSOA,01/02/2019
264,Vale-Refeição e Vale-Alimentação,"5.000,00",FERNANDA PESSOA,01/02/2019
265,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERNANDO HUGO,01/02/2019
266,Divulgação das Atividades Parlamentares,"15.820,00",FERNANDO HUGO,01/02/2019
267,Hospedagens,"1.092,01",FERNANDO HUGO,01/02/2019
268,Passagens Aéreas,"4.332,27",FERNANDO HUGO,01/02/2019
269,Serviços de Telecomunicações - Pacote de Dados,"6.749,77",FERNANDO HUGO,01/02/2019
270,Vale-Refeição e Vale-Alimentação,"2.000,00",FERNANDO HUGO,01/02/2019
271,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERNANDO SANTANA,01/02/2019
272,Divulgação das Atividades Parlamentares,"8.000,00",FERNANDO SANTANA,01/02/2019
273,Vale-Refeição e Vale-Alimentação,"4.900,00",FERNANDO SANTANA,01/02/2019
274,Assinaturas de Periódicos e Anuidades,"440,70",GONY ARRUDA,01/02/2019
275,Convênio com Plano de Saúde,"8.004,62",GONY ARRUDA,01/02/2019
276,Despesas de Teleprocessamento,"230,40",GONY ARRUDA,01/02/2019
277,Divulgação das Atividades Parlamentares,"8.000,00",GONY ARRUDA,01/02/2019
278,Outros Serviços de Terceiros - Pessoa Jurídica,"274,34",GONY ARRUDA,01/02/2019
279,Seguros em Geral,"474,56",GONY ARRUDA,01/02/2019
280,Serviços de Telecomunicações,"-274,34",GONY ARRUDA,01/02/2019
281,Serviços de Telecomunicações - Pacote de Dados,"318,07",GONY ARRUDA,01/02/2019
282,Assinaturas de Periódicos e Anuidades,"1.061,58",HEITOR FERRER,01/02/2019
283,Combustíveis e Lubrificantes Automotivos,"4.000,00",HEITOR FERRER,01/02/2019
284,Convênio com Plano de Saúde,"1.589,79",HEITOR FERRER,01/02/2019
285,Divulgação das Atividades Parlamentares,"2.400,00",HEITOR FERRER,01/02/2019
286,Serviços Gráficos e Editoriais,"15.960,00",HEITOR FERRER,01/02/2019
287,Serviços de Telecomunicações,"21,79",HEITOR FERRER,01/02/2019
288,Serviços de Telecomunicações - Pacote de Dados,"1.330,61",HEITOR FERRER,01/02/2019
289,Vale-Refeição e Vale-Alimentação,"4.997,00",HEITOR FERRER,01/02/2019
290,Combustíveis e Lubrificantes Automotivos,"6.000,00",JEOVA MOTA,01/02/2019
291,Divulgação das Atividades Parlamentares,"8.000,00",JEOVA MOTA,01/02/2019
292,Serviços Técnicos Profissionais,"8.100,00",JEOVA MOTA,01/02/2019
293,Vale-Refeição e Vale-Alimentação,"1.500,00",JEOVA MOTA,01/02/2019
294,Combustíveis e Lubrificantes Automotivos,"6.000,00",JOAO JAIME,01/02/2019
295,Divulgação das Atividades Parlamentares,"500,00",JOAO JAIME,01/02/2019
296,Hospedagens,"-1.670,31",JOAO JAIME,01/02/2019
297,Outros Serviços de Terceiros - Pessoa Jurídica,"1.670,31",JOAO JAIME,01/02/2019
298,Passagens Aéreas,"-6.441,70",JOAO JAIME,01/02/2019
299,Passagens e Despesas com Locomoção,"6.441,70",JOAO JAIME,01/02/2019
300,Vale-Refeição e Vale-Alimentação,"4.000,00",JOAO JAIME,01/02/2019
301,Combustíveis e Lubrificantes Automotivos,"3.000,00",JULINHO,01/02/2019
302,Divulgação das Atividades Parlamentares,"8.000,00",JULINHO,01/02/2019
303,Serviços Técnicos Profissionais,"14.940,00",JULINHO,01/02/2019
304,Serviços de Telecomunicações - Pacote de Dados,"2.621,10",JULINHO,01/02/2019
305,Vale-Refeição e Vale-Alimentação,"3.000,00",JULINHO,01/02/2019
306,Combustíveis e Lubrificantes Automotivos,"6.000,00",LEONARDO ARAUJO,01/02/2019
307,Hospedagens,"1.984,95",LEONARDO ARAUJO,01/02/2019
308,Passagens Aéreas,"1.161,88",LEONARDO ARAUJO,01/02/2019
309,Passagens e Despesas com Locomoção,"12.285,00",LEONARDO ARAUJO,01/02/2019
310,Serviços Gráficos e Editoriais,"4.352,00",LEONARDO ARAUJO,01/02/2019
311,Serviços Técnicos Profissionais,"3.960,00",LEONARDO ARAUJO,01/02/2019
312,Serviços de Comunicação em Geral,"80,48",LEONARDO ARAUJO,01/02/2019
313,Serviços de Telecomunicações - Pacote de Dados,"372,32",LEONARDO ARAUJO,01/02/2019
314,Vale-Refeição e Vale-Alimentação,"5.000,00",LEONARDO ARAUJO,01/02/2019
315,Combustíveis e Lubrificantes Automotivos,"6.000,00",LEONARDO PINHEIRO,01/02/2019
316,Divulgação das Atividades Parlamentares,"400,00",LEONARDO PINHEIRO,01/02/2019
317,Serviços Gráficos e Editoriais,"7.264,00",LEONARDO PINHEIRO,01/02/2019
318,Serviços Técnicos Profissionais,"21.960,00",LEONARDO PINHEIRO,01/02/2019
